;;;;;;;;Where To Find (1);;;;Where To Find (2);;;;Where To Find (3);;;;Where To Find (4);;;
Id;Tipo2;Movie;Take;Date;Viewed?;Possible Secret;Comment / Description;Keyword;Movie;Take;Date;Keyword;Movie;Take;Date;Keyword;Movie;Take;Date;Keyword;Movie;Take;Date
1;Clip;Ambrosio;-;10/02/1968;;-;Soap commercial;Clock;2OE;17C;02/05/99;Watch;2OE;17C;02/05/99;Blood;Minsky;-;21/07/70;Flower;2OE;14C;23/04/99
2;Clip;Ambrosio;-;15/04/1968;;-;Casting of one of the nuns;Penelope;Ambrosio;22A;15/10/68;Stool;Minsky;3A;11/08/70;Chair;Ambrosio;-;15/04/68;Cross;Ambrosio;3A;05/08/68
3;Clip;Ambrosio;-;15/04/1968;;-;Sofia's casting;Lighter;Minsky;41A;02/08/70;Hookah;Minsky;-;23/12/69;Feet;2OE;51A;20/07/99;Ruby;Minsky;-;31/07/70
4;Clip;Ambrosio;-;15/04/1968;;-;Marissa's casting;Stool;Minsky;3A;11/08/70;Chair;Ambrosio;-;15/04/68;Marissa Marcel;2OE;-;25/09/99;-;-;-;-
5;Secret;Ambrosio;-;15/04/1968;;-;;;;;;;;;;;;;;;;;
6;Clip;Ambrosio;-;22/04/1968;;xxx;Marissa and Robert's chemistry test;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99;Kiss;2OE;-;25/09/99;Script;2OE;51D;21/07/99
7;Clip;Ambrosio;25;01/06/1968;;-;Script reading;Lighter;Minsky;41A;02/08/70;Pitcher;Ambrosio;44;01/06/68;Bath;Ambrosio;40E;20/08/68;Watering Can;2OE;55A;29/07/99
8;Secret;Ambrosio;25;01/06/1968;;-;;;;;;;;;;;;;;;;;
9;Clip;Ambrosio;33;01/06/1968;;-;Script reading;Pitcher;Ambrosio;44;01/06/68;Bath;Ambrosio;40E;20/08/68;Watering Can;2OE;55A;29/07/99;Arthur Fischer;Ambrosio;-;19/10/68
10;Clip;Ambrosio;35;01/06/1968;;-;Script reading with Diana;Glasses;Minsky;-;28/05/70;Diana Wills;Ambrosio;44;01/06/68;Pitcher;Ambrosio;44;01/06/68;Bath;Ambrosio;40E;20/08/68
11;Clip;Ambrosio;44;01/06/1968;;-;Script reading with Diana;Glasses;Minsky;-;28/05/70;Diana Wills;Ambrosio;-;19/10/68;Pitcher;Ambrosio;35;01/06/68;Bath;Ambrosio;40E;20/08/68
12;Clip;Ambrosio;-;08/06/1968;;-;Marissa's costume test;Crown;Ambrosio;62A;02/10/68;Costume Designer;Ambrosio;-;19/10/68;Book;Ambrosio;48;08/06/68;Magazines;2OE;55A;29/07/99
13;Secret;Ambrosio;-;08/06/1968;;-;;;;;;;;;;;;;;;;;
14;Clip;Ambrosio;4;08/06/1968;;-;Agnes and actress from video #2 show up;Prioress;Ambrosio;22A;15/10/68;Penelope;Ambrosio;22A;15/10/68;Jane;Ambrosio;55;09/06/68;Letter;Minsky;41A;02/08/70
15;Clip;Ambrosio;14;08/06/1968;;-;;Bowl;2OE;55A;29/07/99;Pillar;Ambrosio;41;08/06/68;Assistant Director;Ambrosio;-;19/10/68;Pot;2OE;14C;23/04/99
16;Clip;Ambrosio;28;08/06/1968;;xxx;;Assistant Director;Ambrosio;-;19/10/68;Stage Block;Ambrosio;54;09/06/68;Table;Ambrosio;14;08/06/68;Sofia Morgana;Ambrosio;-;15/04/68
17;Clip;Ambrosio;41;08/06/1968;;-;Robert, branch, lantern;Clothes;Ambrosio;48;08/06/68;Branch;Ambrosio;42A;18/10/68;Lantern;Ambrosio;54;09/06/68;Pillar;Ambrosio;14;08/06/68
18;Clip;Ambrosio;47;08/06/1968;;-;;Assistant Director;Ambrosio;-;19/10/68;Sofia Morgana;Ambrosio;2C;20/09/68;Moon;Ambrosio;41A;18/10/68;Painting;Ambrosio;6B;15/08/68
19;Clip;Ambrosio;48;08/06/1968;;xxx;Little green bottle;Clothes;Ambrosio;41;08/06/68;Plate;2OE;58B;06/08/99;Tray;Ambrosio;49B;18/09/68;Assistant Director;Ambrosio;-;19/10/68
20;Clip;Ambrosio;54;09/06/1968;;-;;Lantern;2OE;67A;07/09/99;Assistant Director;Ambrosio;-;19/10/68;Knife;Ambrosio;8B;22/08/68;Stage Block;Ambrosio;54;09/06/68
21;Secret;Ambrosio;54;09/06/1968;;-;;;;;;;;;;;;;;;;;
22;Clip;Ambrosio;55;09/06/1968;;-;;Jane;Ambrosio;4;08/06/68;Feet;Minsky;1A;09/08/70;Pillar;Ambrosio;24D;17/10/68;Knife;Ambrosio;54;09/06/68
23;Clip;Ambrosio;-;05/08/1968;;xxx;Interview with Marissa and Fischer;Arthur Fischer;Ambrosio;-;19/10/68;Photo;Minsky;42B;21/07/70;Marissa Marcel;2OE;-;25/09/99;Clapperboard;2OE;-;25/09/99
24;Clip;Ambrosio;3A;05/08/1968;;-;;Bed;2OE;82;25/03/99;Napkin;Minsky;2B;23/07/70;Paper;2OE;26B;18/05/99;Pillow;2OE;73A;16/09/99
25;Clip;Ambrosio;11C;06/08/1968;;xxx;;Plate;2OE;58B;06/08/99;Gabriel;Ambrosio;56C;01/10/68;Tray;Ambrosio;49B;18/09/68;Candle;Ambrosio;3A;05/08/68
26;Clip;Ambrosio;12C;07/08/1968;;-;;Instrument;Ambrosio;12D;07/08/68;Candle;Ambrosio;12D;07/08/68;Painting;Minsky;11B;16/08/70;2nd AC;Ambrosio;12D;07/08/68
27;Secret;Ambrosio;12C;07/08/1968;;-;;;;;;;;;;;;;;;;;
28;Clip;Ambrosio;12D;07/08/1968;;-;;Instrument;Ambrosio;12C;07/08/68;Candle;Ambrosio;12C;07/08/68;Book;Ambrosio;11C;06/08/68;Magazines;2OE;55A;29/07/99
29;Clip;Ambrosio;9C;12/08/1968;;-;;Candle;Ambrosio;11C;06/08/68;Knife;Ambrosio;34C;13/08/68;Razor;Minsky;-;21/07/70;Scissors;Minsky;-;21/07/70
30;Clip;Ambrosio;34C;13/08/1968;;-;;ID;2OE;55A;29/07/99;Boarding Pass;2OE;69B;08/09/99;Card;Minsky;-;15/04/69;Knife;Ambrosio;9C;12/08/68
31;Secret;Ambrosio;34C;13/08/1968;;-;;;;;;;;;;;;;;;;;
32;Clip;Ambrosio;21A;14/08/1968;;-;;Bed;2OE;82;25/03/99;Keyhole;Minsky;10B;13/08/70;Key;Minsky;10B;13/08/70;Vase;Ambrosio;8B;22/08/68
33;Clip;Ambrosio;6B;15/08/1968;;-;;Production Assistant;Ambrosio;-;30/09/68;Fire;2OE;-;25/09/99;Rosary;Ambrosio;-;16/09/68;Frame;Minsky;-;29/05/70
34;Secret;Ambrosio;6B;15/08/1968;;-;"""First time I ""found"" her, gave me nightmares""";;;;;;;;;;;;;;;;
35;Clip;Ambrosio;10C;16/08/1968;;-;Robert and Marissa closeup;Kiss;Ambrosio;6B;15/08/68;Cross;Ambrosio;3A;05/08/68;Crucifix;Ambrosio;3A;05/08/68;2nd AC;Ambrosio;6B;15/08/68
36;Clip;Ambrosio;30B;19/08/1968;;-;;Makeup Artist Ambrosio;Ambrosio;-;19/10/68;Rosary;Ambrosio;-;16/09/68;Magazines;2OE;55A;29/07/99;Book;Ambrosio;46B;17/09/68
37;Secret;Ambrosio;30B;19/08/1968;;-;;;;;;;;;;;;;;;;;
38;Clip;Ambrosio;32A;19/08/1968;;xxx;;Bottle;Ambrosio;30B;19/08/68;Pen;Ambrosio;34C;13/08/68;Cup;Minsky;-;13/08/70;Coffee;Minsky;-;13/08/70
39;Clip;Ambrosio;40A;20/08/1968;;xxx;;Keyhole;Minsky;10B;13/08/70;Key;Minsky;10B;13/08/70;Mirror;Minsky;-;28/08/70;Candle;Ambrosio;6B;15/08/68
40;Clip;Ambrosio;40D;20/08/1968;;-;Color changing flower;Vase;Ambrosio;5B;21/08/68;Flower;Ambrosio;-;10/02/68;Basket;Ambrosio;3A;05/08/68;2nd AC;Ambrosio;40A;20/08/68
41;Clip;Ambrosio;40E;20/08/1968;;-;Naked Sofia, bird;Bird;Ambrosio;16B;11/09/68;Smoke;Ambrosio;42A;18/10/68;Noise;Minsky;-;15/04/69;Wings;Ambrosio;61C;10/10/68
42;Clip;Ambrosio;5B;21/08/1968;;-;That enough tette for you, Gino?;Gino De Giorgio;Ambrosio;-;19/10/68;Bench;Ambrosio;8B;22/08/68;Rosary;Ambrosio;8B;22/08/68;Arthur Fischer;Ambrosio;-;19/10/68
43;Clip;Ambrosio;8B;22/08/1968;;-;Flower, snake;Bench;Ambrosio;5B;21/08/68;Rosary;Ambrosio;30B;19/08/68;Snake;Ambrosio;8D;22/08/68;Jewelry;Minsky;40B;05/08/70
44;Secret;Ambrosio;8B;22/08/1968;;-;;;;;;;;;;;;;;;;;
45;Clip;Ambrosio;8D;22/08/1968;;-;;Snake;Ambrosio;8B;22/08/68;Jewelry;Minsky;40B;05/08/70;Flower;Ambrosio;8B;22/08/68;Basket;Ambrosio;3A;05/08/68
46;Clip;Ambrosio;20B;23/08/1968;;-;;Scales;Ambrosio;53C;27/09/68;Gabriel;Ambrosio;56C;01/10/68;Bowl;2OE;55A;29/07/99;Keyhole;Minsky;10B;13/08/70
47;Clip;Ambrosio;20D;23/08/1968;;-;Short clip with keys;Keyhole;Minsky;10B;13/08/70;Key;Minsky;10B;13/08/70;Hands;Ambrosio;15A;23/08/68;Gloves;Minsky;3A;11/08/70
48;Clip;Ambrosio;15A;23/08/1968;;xxx;;Plant;Ambrosio;8B;22/08/68;Kiss;Ambrosio;40A;20/08/68;Robert Jones;Ambrosio;20B;23/08/68;Hands;Ambrosio;20D;23/08/68
49;Clip;Ambrosio;16B;11/09/1968;;xxx;;Bird;Ambrosio;23A;15/10/68;Wings;Ambrosio;61C;10/10/68;Candle;Ambrosio;6B;15/08/68;Kiss;Ambrosio;17B;12/09/68
50;Clip;Ambrosio;17B;12/09/1968;;xxx;;Makeup Artist Ambrosio;Ambrosio;42A;18/10/68;Candle;Ambrosio;6B;15/08/68;Kiss;Ambrosio;16B;11/09/68;2nd AC;Ambrosio;16B;11/09/68
51;Clip;Ambrosio;18C;13/09/1968;;-;;Candle;Ambrosio;6B;15/08/68;Kiss;Ambrosio;17B;12/09/68;Cross;Ambrosio;3A;05/08/68;Crucifix;Ambrosio;3A;05/08/68
52;Secret;Ambrosio;18C;13/09/1968;;-;;;;;;;;;;;;;;;;;
53;Clip;Ambrosio;-;16/09/1968;;xxx;Interview with Marissa, Robert and Sofia;Rosary;Ambrosio;6B;15/08/68;Jewelry;Ambrosio;39A;16/09/68;Curtain;Ambrosio;39A;16/09/68;Candle;Ambrosio;46A;17/09/68
54;Clip;Ambrosio;36A;16/09/1968;;-;Sofia;Jewelry;Ambrosio;-;16/09/68;Eye;Minsky;20E;19/08/70;Sofia Morgana;Ambrosio;52A;19/09/68;Clapperboard;Ambrosio;-;16/09/68
